"fish_sample_id","impoundment_code","sample_date","gear_description","location","units_of_effort","effort_description"
"93295","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #156","24.00000","Hours"
"93285","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #134","24.00000","Hours"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours"
"93283","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #124","24.00000","Hours"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours"
"93281","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #172","24.00000","Hours"
"93280","HORR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #246","18.00000","Hours"
"93279","HORR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #242","18.00000","Hours"
"93278","HORR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #214","18.00000","Hours"
"93277","HORR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #82","18.00000","Hours"
"93276","HORR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #148","18.00000","Hours"
"93275","HORR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #202","18.00000","Hours"
"93270","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #401","24.00000","Hours"
"93269","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #275","24.00000","Hours"
"93268","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #260","24.00000","Hours"
"93267","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #292","24.00000","Hours"
"93266","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #421","24.00000","Hours"
"93264","HORR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #274","18.00000","Hours"
"93263","HORR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #194","18.00000","Hours"
"93262","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #136","21.00000","Hours"
"93261","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #189","21.00000","Hours"
"93260","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #248","20.00000","Hours"
"93257","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #335","20.00000","Hours"
"93255","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #433","19.00000","Hours"
"93254","JRDR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #369","19.00000","Hours"
"93235","BNCL","2022-10-27","GILL NET-CORE PANEL","Sample Grid #14","17.00000","Hours"
"93234","BNCL","2022-10-27","GILL NET-CORE PANEL","Sample Grid #68","17.00000","Hours"
"93233","BNCL","2022-10-27","GILL NET-CORE PANEL","Sample Grid #99","17.00000","Hours"
"93232","BNCL","2022-10-27","GILL NET-CORE PANEL","Sample Grid #101","17.00000","Hours"
"93230","KMSL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #76","23.00000","Hours"
"93228","KMSL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #31","22.00000","Hours"
"93226","KMSL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #19","21.00000","Hours"
"93225","KMSL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #46","21.00000","Hours"
"93224","KMSL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #63","20.00000","Hours"
"93217","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #344","18.00000","Hours"
"93216","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #209","18.00000","Hours"
"93215","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #193","18.00000","Hours"
"93214","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #131","18.00000","Hours"
"93213","MILR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #124","18.00000","Hours"
"93212","PRCL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #11","23.00000","Hours"
"93210","PRCL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #35","22.00000","Hours"
"93208","PRCL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #8","21.00000","Hours"
"93206","PRCL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #26","20.00000","Hours"
"93204","PRCL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #10","19.00000","Hours"
"93202","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #140","21.00000","Hours"
"93201","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #313","21.00000","Hours"
"93200","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #224","21.00000","Hours"
"93199","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #374","21.00000","Hours"
"93198","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #438","20.00000","Hours"
"93197","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #495","20.00000","Hours"
"93196","JRDR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #516","20.00000","Hours"
"93190","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #576","21.00000","Hours"
"93188","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #542","21.00000","Hours"
"93187","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #502","20.00000","Hours"
"93186","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #442","20.00000","Hours"
"93185","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #498","20.00000","Hours"
"93184","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #518","20.00000","Hours"
"93182","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #83","15.00000","Hours"
"93181","JRDR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #558","19.00000","Hours"
"93180","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #62","15.00000","Hours"
"93177","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #184","15.00000","Hours"
"93176","SNCA","2022-10-13","GILL NET-CORE PANEL","Sample Grid #226","15.00000","Hours"
"93175","DGLL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #35","20.00000","Hours"
"93174","DGLL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #43","20.00000","Hours"
"93173","DGLL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #64","20.00000","Hours"
"93172","DGLL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #107","20.00000","Hours"
"93170","DGLL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #54","17.00000","Hours"
"93169","DGLL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #122","17.00000","Hours"
"93164","YCCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #43","20.00000","Hours"
"93163","YCCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours"
"93160","YCCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #61","20.00000","Hours"
"93159","YCCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #75","20.00000","Hours"
"93157","YCCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #67","20.00000","Hours"
"93156","YCCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #77","20.00000","Hours"
"93151","GNCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #32","21.00000","Hours"
"93149","GNCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #28","21.00000","Hours"
"93147","GNCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #10","21.00000","Hours"
"93146","DGSL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #104","17.00000","Hours"
"93145","DGSL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #53","17.00000","Hours"
"93144","DGSL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #55","17.00000","Hours"
"93142","GNCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #12","21.00000","Hours"
"93141","DGSL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #14","17.00000","Hours"
"93140","DGSL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #42","17.00000","Hours"
"93139","DGSL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #20","17.00000","Hours"
"93138","GNCB","2022-10-14","GILL NET-CORE PANEL","Sample Grid 4","21.00000","Hours"
"93137","OSSL","2022-10-07","GILL NET-CORE PANEL","Sample Grid #38","19.00000","Hours"
"93133","GNCB","2022-10-14","GILL NET-CORE PANEL","Sample Grid 8","21.00000","Hours"
"93132","GNCB","2022-10-14","GILL NET-CORE PANEL","Sample Grid 11","21.00000","Hours"
"93130","SDSL","2022-10-13","GILL NET-CORE PANEL","Sample Grid #20","19.00000","Hours"
"93127","SDSL","2022-10-13","GILL NET-CORE PANEL","Sample Grid #18","19.00000","Hours"
"93126","LECL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #39","21.00000","Hours"
"93125","LECL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #24","21.00000","Hours"
"93124","LECL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #30","21.00000","Hours"
"93123","SDSL","2022-10-13","GILL NET-CORE PANEL","Sample Grid #34","19.00000","Hours"
"93120","OSSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #17","17.00000","Hours"
"93119","OSSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #34","17.00000","Hours"
"93117","OSSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #78","17.00000","Hours"
"93115","LECL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #22","21.00000","Hours"
"93112","BASB","2022-10-24","GILL NET-CORE PANEL","Sample Grid #25","22.00000","Hours"
"93110","BASB","2022-10-24","GILL NET-CORE PANEL","Sample Grid #27","21.00000","Hours"
"93107","BASB","2022-10-24","GILL NET-CORE PANEL","Sample Grid #38","21.00000","Hours"
"93105","BASB","2022-10-24","GILL NET-CORE PANEL","Sample Grid #46","20.00000","Hours"
"93103","BASB","2022-10-24","GILL NET-CORE PANEL","Sample Grid #21","20.00000","Hours"
"93101","OSSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #53","17.00000","Hours"
"93100","SDSL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #37","20.00000","Hours"
"93098","SDSL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #18","19.00000","Hours"
"93096","SDSL","2022-10-12","GILL NET-CORE PANEL","Sample Grid #20","19.00000","Hours"
"93095","AWCB","2022-10-06","GILL NET-CORE PANEL","Sample Grid #33","19.00000","Hours"
"93093","AWCB","2022-10-06","GILL NET-CORE PANEL","Sample Grid #34","20.00000","Hours"
"93092","AWCB","2022-10-06","GILL NET-CORE PANEL","Sample Grid #40","20.00000","Hours"
"93088","YCCL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #55","20.00000","Hours"
"93087","YCCL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #44","20.00000","Hours"
"93086","YCCL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #62","20.00000","Hours"
"93085","YCCL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #47","20.00000","Hours"
"93080","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #62","18.00000","Hours"
"93079","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #122","18.00000","Hours"
"93078","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #157","18.00000","Hours"
"93077","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #163","18.00000","Hours"
"93076","CGRR","2022-10-20","GILL NET-CORE PANEL","Sample Grid #77","18.00000","Hours"
"93071","CGRR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #95","18.00000","Hours"
"93070","CGRR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #146","18.00000","Hours"
"93069","CGRR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #144","18.00000","Hours"
"93068","CGRR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #158","18.00000","Hours"
"93067","CGRR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #106","18.00000","Hours"
"93060","BNCL","2022-10-20","GILL NET-CORE PANEL","Sample Grid #183","20.50000","Hours"
"93059","BNCL","2022-10-20","GILL NET-CORE PANEL","Sample Grid #208","20.00000","Hours"
"93058","BNCL","2022-10-20","GILL NET-CORE PANEL","Sample Grid #246","18.75000","Hours"
"93057","BNCL","2022-10-20","GILL NET-CORE PANEL","Sample Grid #309","18.00000","Hours"
"93056","BNCL","2022-10-20","GILL NET-CORE PANEL","Sample Grid #274","16.50000","Hours"
"93055","BNCL","2022-10-20","GILL NET-CORE PANEL","Sample Grid #188","15.00000","Hours"
"93050","CGRR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #60","18.00000","Hours"
"93049","CGRR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #56","18.00000","Hours"
"93048","CGRR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #47","18.00000","Hours"
"93047","CGRR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #29","18.00000","Hours"
"93046","CGRR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #40","18.00000","Hours"
"93042","SCSL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #20","18.50000","Hours"
"93041","SCSL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #26","18.00000","Hours"
"93040","SCSL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #12","17.50000","Hours"
"93037","YCCL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #15","20.00000","Hours"
"93035","YCCL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #39","20.00000","Hours"
"93033","OWCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #12","20.00000","Hours"
"93032","OWCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #5","20.00000","Hours"
"93031","OWCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #4","20.00000","Hours"
"93030","WOSL","2022-10-04","GILL NET-CORE PANEL","Sample Grid #50","20.00000","Hours"
"93029","WOSL","2022-10-04","GILL NET-CORE PANEL","Sample Grid #82","20.00000","Hours"
"93026","WOSL","2022-10-04","GILL NET-CORE PANEL","Sample Grid #113","20.00000","Hours"
"93025","WOSL","2022-10-04","GILL NET-CORE PANEL","Sample Grid #98","20.00000","Hours"
"93024","WOSL","2022-10-04","GILL NET-CORE PANEL","Sample Grid #74","20.00000","Hours"
"93021","WOSL","2022-10-04","GILL NET-CORE PANEL","Sample Grid #58","20.00000","Hours"
"93019","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #95","18.00000","Hours"
"93018","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #87","18.00000","Hours"
"93017","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #26","18.00000","Hours"
"93016","MNCL","2022-10-11","GILL NET-CORE PANEL","Sample Grid #73","18.00000","Hours"
"93011","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #130","22.00000","Hours"
"93008","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #106","20.00000","Hours"
"93006","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #108","20.00000","Hours"
"93004","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #97","19.00000","Hours"
"93003","HVCA","2022-10-07","GILL NET-CORE PANEL","Sample Grid #85","19.00000","Hours"
"93001","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #79","22.00000","Hours"
"92999","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #63","21.00000","Hours"
"92998","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours"
"92997","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #52","20.00000","Hours"
"92994","HVCA","2022-10-06","GILL NET-CORE PANEL","Sample Grid #29","19.00000","Hours"
"92993","HVCB","2022-10-04","GILL NET-CORE PANEL","ALL LAKE","22.00000","Hours"
"92991","HVCB","2022-10-04","GILL NET-CORE PANEL","ALL LAKE","21.00000","Hours"
"92989","HVCB","2022-10-04","GILL NET-CORE PANEL","UNKNOWN","20.00000","Hours"
"92984","HVCB","2022-10-04","GILL NET-CORE PANEL","SHORELINE","19.00000","Hours"
"92982","HVCB","2022-10-04","GILL NET-CORE PANEL","RAMP","19.00000","Hours"
"92981","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #131","18.00000","Hours"
"92980","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #105","18.00000","Hours"
"92975","NOSL","2022-10-07","GILL NET-CORE PANEL","Sample Grid #43","20.50000","Hours"
"92974","NOSL","2022-10-07","GILL NET-CORE PANEL","Sample Grid #32","20.00000","Hours"
"92973","NOSL","2022-10-07","GILL NET-CORE PANEL","Sample Grid #23","19.50000","Hours"
"92972","NOSL","2022-10-07","GILL NET-CORE PANEL","Sample Grid #45","19.00000","Hours"
"92971","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #65","18.00000","Hours"
"92970","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #62","18.00000","Hours"
"92969","CBCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #91","18.00000","Hours"
"92968","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #12","22.50000","Hours"
"92967","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #19","22.00000","Hours"
"92966","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #34","21.50000","Hours"
"92965","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #29","21.00000","Hours"
"92964","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #75","20.50000","Hours"
"92963","CRSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #104","20.00000","Hours"
"92952","OVBK","2022-10-07","GILL NET-CORE PANEL","S SIDE BTW FEEDER AERATR","17.00000","Hours"
"92951","OVBK","2022-10-07","GILL NET-CORE PANEL","N SIDE EAST OF AERATOR","17.00000","Hours"
"92946","MPSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #29","19.00000","Hours"
"92942","MPSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #33","19.00000","Hours"
"92941","MPSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #27","19.00000","Hours"
"92940","CGCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #124","20.00000","Hours"
"92939","CGCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #73","20.00000","Hours"
"92938","CGCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #102","20.00000","Hours"
"92937","MPSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #7","19.00000","Hours"
"92936","MPSL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #17","19.00000","Hours"
"92935","CGCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #208","20.00000","Hours"
"92934","CGCL","2022-10-06","GILL NET-CORE PANEL","Sample Grid #115","20.00000","Hours"
"92930","MPSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #13","19.00000","Hours"
"92929","MPSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #4","19.00000","Hours"
"92928","MPSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #16","19.00000","Hours"
"92927","MPSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #15","19.00000","Hours"
"92926","MPSL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #24","19.00000","Hours"
"92921","GESL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #47","20.00000","Hours"
"92920","GESL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #56","20.00000","Hours"
"92919","GESL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #34","20.00000","Hours"
"92918","GESL","2022-10-05","GILL NET-CORE PANEL","Sample Grid #29","20.00000","Hours"
"92913","HRCA","2022-10-04","GILL NET-CORE PANEL","Sample Grid #225","20.00000","Hours"
"92912","HRCA","2022-10-04","GILL NET-CORE PANEL","Sample Grid #189","20.00000","Hours"
"92911","HRCA","2022-10-04","GILL NET-CORE PANEL","Sample Grid #110","20.00000","Hours"
"92910","HRCA","2022-10-04","GILL NET-CORE PANEL","Sample Grid #115","20.00000","Hours"
"92896","STCL","2022-09-29","GILL NET-CORE PANEL","NORTHEAST","20.00000","Hours"
"92895","STCL","2022-09-29","GILL NET-CORE PANEL","SOUTH","20.00000","Hours"
"92894","STCL","2022-09-29","GILL NET-CORE PANEL","WEST","20.00000","Hours"
"92893","STCL","2022-09-29","GILL NET-CORE PANEL","NORTH END","20.00000","Hours"
"92889","GBCA","2022-09-28","GILL NET-CORE PANEL","Sample Grid #58","19.00000","Hours"
"92888","GBCA","2022-09-28","GILL NET-CORE PANEL","Sample Grid #56","19.00000","Hours"
"92887","GBCA","2022-09-28","GILL NET-CORE PANEL","Sample Grid #55","19.00000","Hours"
"92886","GBCA","2022-09-28","GILL NET-CORE PANEL","Sample Grid #47","19.00000","Hours"
"92885","GBCA","2022-09-28","GILL NET-CORE PANEL","Sample Grid #38","19.00000","Hours"
"92884","GBCA","2022-09-28","GILL NET-CORE PANEL","Sample Grid #37","19.00000","Hours"
"92880","GBCL","2022-09-27","GILL NET-CORE PANEL","EAST END","17.00000","Hours"
"92879","GBCL","2022-09-27","GILL NET-CORE PANEL","MID LAKE","17.00000","Hours"
"92878","GBCL","2022-09-27","GILL NET-CORE PANEL","WEST END","17.00000","Hours"
"92775","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #79","24.00000","Hours"
"92772","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #17","24.00000","Hours"
"92771","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #91","24.00000","Hours"
"92753","TCRP","2022-09-17","GILL NET-CORE PANEL","Sample Grid #41","24.00000","Hours"
"91075","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #89","18.00000","Hours"
"91074","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #11","18.00000","Hours"
"91073","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #36","18.00000","Hours"
"91072","MNCL","2021-09-28","GILL NET-CORE PANEL","Sample Grid #56","18.00000","Hours"
"91071","WECB","2021-10-01","GILL NET-CORE PANEL","Sample Grid #26","18.00000","Hours"
"91070","WECB","2021-10-01","GILL NET-CORE PANEL","Sample Grid #6","18.00000","Hours"
"91069","WECB","2021-10-01","GILL NET-CORE PANEL","Sample Grid #19","18.00000","Hours"
"91068","WECB","2021-10-01","GILL NET-CORE PANEL","Sample Grid #20","18.00000","Hours"
"91064","BUSL","2021-10-05","GILL NET-CORE PANEL","Sample Grid #44","18.00000","Hours"
"91063","BUSL","2021-10-05","GILL NET-CORE PANEL","Sample Grid #28","18.00000","Hours"
